venue,city,state,status,closed_date,notes
The Forum,Inglewood,California,active,,Historic venue renovated in 2014
Hollywood Bowl,Los Angeles,California,active,,Iconic outdoor amphitheater since 1922
SoFi Stadium,Inglewood,California,active,,Opened in 2020
The Wiltern,Los Angeles,California,active,,Art deco theater built in 1931
Crypto.com Arena,Los Angeles,California,active,,Formerly Staples Center (renamed 2021)
Dodger Stadium,Los Angeles,California,active,,Baseball stadium that hosts concerts
Greek Theatre,Los Angeles,California,active,,Outdoor amphitheater in Griffith Park
Hollywood Palladium,Los Angeles,California,active,,Concert venue since 1940
Irvine Meadows,Irvine,California,demolished,2016-10-30,Demolished for residential development
Universal Amphitheatre,Los Angeles,California,demolished,1999-12-31,Demolished and rebuilt as Gibson Amphitheatre
